timestamp,demand,temperature,hour,day_of_week,month,year,ds,y,day,weekday
2003-03-01,12863.0,29.0,1,5,3,2003,3/1/2003,2003.0,1.0,7.0
2003-03-02,11861.0,32.0,1,6,3,2003,3/2/2003,2003.0,2.0,1.0
2003-03-03,11657.0,35.0,1,0,3,2003,3/3/2003,2003.0,3.0,2.0
2003-03-04,14222.0,6.0,1,1,3,2003,3/4/2003,2003.0,4.0,3.0
2003-03-05,12638.0,31.0,1,2,3,2003,3/5/2003,2003.0,5.0,4.0
2003-03-06,11971.0,37.0,1,3,3,2003,3/6/2003,2003.0,6.0,5.0
2003-03-07,13519.0,12.0,1,4,3,2003,3/7/2003,2003.0,7.0,6.0
2003-03-08,12788.0,25.0,1,5,3,2003,3/8/2003,2003.0,8.0,7.0
2003-03-09,11696.0,36.0,1,6,3,2003,3/9/2003,2003.0,9.0,1.0
2003-03-10,12446.0,17.0,1,0,3,2003,3/10/2003,2003.0,10.0,2.0
2003-03-11,13552.0,15.0,1,1,3,2003,3/11/2003,2003.0,11.0,3.0
2003-03-12,12539.0,30.0,1,2,3,2003,3/12/2003,2003.0,12.0,4.0
2003-03-13,11808.0,39.0,1,3,3,2003,3/13/2003,2003.0,13.0,5.0
2003-03-14,12876.0,21.0,1,4,3,2003,3/14/2003,2003.0,14.0,6.0
2003-03-15,12645.0,25.0,1,5,3,2003,3/15/2003,2003.0,15.0,7.0
2003-03-16,11849.0,30.0,1,6,3,2003,3/16/2003,2003.0,16.0,1.0
2003-03-17,10836.0,41.0,1,0,3,2003,3/17/2003,2003.0,17.0,2.0
2003-03-18,10858.0,43.0,1,1,3,2003,3/18/2003,2003.0,18.0,3.0
2003-03-19,11342.0,34.0,1,2,3,2003,3/19/2003,2003.0,19.0,4.0
2003-03-20,12000.0,28.0,1,3,3,2003,3/20/2003,2003.0,20.0,5.0
2003-03-21,11582.0,38.0,1,4,3,2003,3/21/2003,2003.0,21.0,6.0
2003-03-22,10807.0,49.0,1,5,3,2003,3/22/2003,2003.0,22.0,7.0
2003-03-23,10486.0,43.0,1,6,3,2003,3/23/2003,2003.0,23.0,1.0
2003-03-24,10652.0,40.0,1,0,3,2003,3/24/2003,2003.0,24.0,2.0
2003-03-25,11025.0,37.0,1,1,3,2003,3/25/2003,2003.0,25.0,3.0
2003-03-26,11031.0,40.0,1,2,3,2003,3/26/2003,2003.0,26.0,4.0
2003-03-27,10724.0,43.0,1,3,3,2003,3/27/2003,2003.0,27.0,5.0
2003-03-28,10851.0,39.0,1,4,3,2003,3/28/2003,2003.0,28.0,6.0
2003-03-29,10563.0,47.0,1,5,3,2003,3/29/2003,2003.0,29.0,7.0
2003-03-30,10120.0,52.0,1,6,3,2003,3/30/2003,2003.0,30.0,1.0
2003-03-31,10982.0,32.0,1,0,3,2003,3/31/2003,2003.0,31.0,2.0
2003-04-01,12042.0,28.0,1,1,4,2003,4/1/2003,2003.0,1.0,3.0
2003-04-02,11599.0,34.0,1,2,4,2003,4/2/2003,2003.0,2.0,4.0
2003-04-03,11225.0,38.0,1,3,4,2003,4/3/2003,2003.0,3.0,5.0
2003-04-04,11480.0,35.0,1,4,4,2003,4/4/2003,2003.0,4.0,6.0
2003-04-05,12068.0,27.0,1,5,4,2003,4/5/2003,2003.0,5.0,7.0
2003-04-06,11513.0,32.0,1,6,4,2003,4/6/2003,2003.0,6.0,1.0
2003-04-07,11635.0,30.0,1,0,4,2003,4/7/2003,2003.0,7.0,2.0
2003-04-08,12324.0,28.0,1,1,4,2003,4/8/2003,2003.0,8.0,3.0
2003-04-09,12015.0,32.0,1,2,4,2003,4/9/2003,2003.0,9.0,4.0
2003-04-10,11973.0,32.0,1,3,4,2003,4/10/2003,2003.0,10.0,5.0
2003-04-11,11422.0,36.0,1,4,4,2003,4/11/2003,2003.0,11.0,6.0
2003-04-12,11520.0,39.0,1,5,4,2003,4/12/2003,2003.0,12.0,7.0
2003-04-13,10621.0,49.0,1,6,4,2003,4/13/2003,2003.0,13.0,1.0
2003-04-14,10540.0,41.0,1,0,4,2003,4/14/2003,2003.0,14.0,2.0
2003-04-15,10887.0,47.0,1,1,4,2003,4/15/2003,2003.0,15.0,3.0
2003-04-16,10583.0,61.0,1,2,4,2003,4/16/2003,2003.0,16.0,4.0
2003-04-17,10604.0,39.0,1,3,4,2003,4/17/2003,2003.0,17.0,5.0
2003-04-18,11397.0,30.0,1,4,4,2003,4/18/2003,2003.0,18.0,6.0
2003-04-19,10808.0,39.0,1,5,4,2003,4/19/2003,2003.0,19.0,7.0
2003-04-20,10338.0,42.0,1,6,4,2003,4/20/2003,2003.0,20.0,1.0
2003-04-21,9728.0,46.0,1,0,4,2003,4/21/2003,2003.0,21.0,2.0
2003-04-22,10310.0,49.0,1,1,4,2003,4/22/2003,2003.0,22.0,3.0
2003-04-23,10754.0,45.0,1,2,4,2003,4/23/2003,2003.0,23.0,4.0
2003-04-24,11062.0,39.0,1,3,4,2003,4/24/2003,2003.0,24.0,5.0
2003-04-25,11115.0,41.0,1,4,4,2003,4/25/2003,2003.0,25.0,6.0
